央视频道,#genre#
CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008
CCTV1,http://121.239.179.141:8000/rtp/239.49.8.19:9614
CCTV2,http://115.171.216.84:4000/rtp/225.1.8.2:8084
CCTV2,http://121.239.179.141:8000/rtp/239.49.8.50:9802
CCTV3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV3,http://121.239.179.141:8000/rtp/239.49.8.74:8000
CCTV4,http://115.171.216.84:4000/rtp/225.1.8.4:8092
CCTV4,http://121.239.179.141:8000/rtp/239.49.8.51:9806
CCTV5,http://115.171.216.84:4000/rtp/225.1.8.89:8000
CCTV5,http://121.239.179.141:8000/rtp/239.49.8.75:8000
CCTV5+,http://115.171.216.84:4000/rtp/225.1.8.20:8004
CCTV5+,http://121.239.179.141:8000/rtp/239.49.8.18:9610
CCTV6,http://115.171.216.84:4000/rtp/225.1.8.84:8000
CCTV6,http://121.239.179.141:8000/rtp/239.49.8.76:8000
CCTV7,http://115.171.216.84:4000/rtp/225.1.8.7:8104
CCTV7,http://121.239.179.141:8000/rtp/239.49.0.126:8000
CCTV8,http://115.171.216.84:4000/rtp/225.1.8.85:8000
CCTV8,http://121.239.179.141:8000/rtp/239.49.8.77:8000
CCTV9,http://115.171.216.84:4000/rtp/225.1.8.9:8112
CCTV9,http://121.239.179.141:8000/rtp/239.49.8.53:9814
CCTV10,http://115.171.216.84:4000/rtp/225.1.8.10:8116
CCTV10,http://121.239.179.141:8000/rtp/239.49.8.54:9818
CCTV11,http://115.171.216.84:4000/rtp/225.1.8.73:8120
CCTV11,http://121.239.179.141:8000/rtp/239.49.0.127:8000
CCTV12,http://115.171.216.84:4000/rtp/225.1.8.12:8124
CCTV12,http://121.239.179.141:8000/rtp/239.49.8.55:9822
CCTV13,http://115.171.216.84:4000/rtp/225.1.8.168:8130
CCTV13,http://121.239.179.141:8000/rtp/239.49.8.109:8000
CCTV14,http://115.171.216.84:4000/rtp/225.1.8.14:8132
CCTV14,http://121.239.179.141:8000/rtp/239.49.8.56:9826
CCTV15,http://115.171.216.84:4000/rtp/225.1.8.74:8136
CCTV15,http://121.239.179.141:8000/rtp/239.49.0.128:8000
CCTV16,http://121.239.179.141:8000/rtp/239.49.8.31:8000
CCTV17,http://115.171.216.84:4000/rtp/225.1.8.17:8144
CCTV17,http://121.239.179.141:8000/rtp/239.49.8.52:9810
兵器科技,http://121.239.179.141:8000/rtp/239.49.8.88:8000
风云音乐,http://121.239.179.141:8000/rtp/239.49.8.92:8000
风云足球,http://121.239.179.141:8000/rtp/239.49.8.85:8000
风云剧场,http://121.239.179.141:8000/rtp/239.49.8.89:8000
怀旧剧场,http://121.239.179.141:8000/rtp/239.49.8.91:8000
第一剧场,http://121.239.179.141:8000/rtp/239.49.8.94:8000
女性时尚,http://121.239.179.141:8000/rtp/239.49.8.93:8000
世界地理,http://121.239.179.141:8000/rtp/239.49.8.87:8000
央视台球,http://121.239.179.141:8000/rtp/239.49.8.32:8000
高尔夫网球,http://121.239.179.141:8000/rtp/239.49.8.86:8000
央视文化精品,http://121.239.179.141:8000/rtp/239.49.8.90:8000
